Number,Latitude,Longitude,Title,Short_Desc,Image_Url,Cost,Size,Category,Date,Occupant
47,58.45281698,-135.8876591,94383,UC - Fire Hydrant Shed GBA70,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94383_2011-11-26_03-51-49_PM_thm.jpg,"$8,955","31 Sq Ft",Shed/Outbuild,"1999",NPS
48,58.45286187,-135.887796,94384,UC - Heavy Equipment Shed GBA111,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94384_2011-11-26_03-59-35_PM_thm.jpg,"$15,824","96 Sq Ft",Equip/Vehicle,"1996",NPS
49,58.45275624,-135.8876359,94385,UC - USCG Spill Container GBA112,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94385_2011-11-26_04-08-02_PM_thm.jpg,"$30,733","160 Sq Ft",Storage,"1990",SHARED
50,58.45256526,-135.8878624,94389,UC - Resource Management Storage Container GBA116,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94389_2011-11-26_04-20-11_PM_thm.jpg,"$52,747","320 Sq Ft",Storage,"1990",NPS
51,58.45329225,-135.8821319,94381,LH - Lodge Housing Fire Hydrant Shed GBL69,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94381_2011-11-26_04-39-37_PM_thm.jpg,"$5,282","unknown",Shed/Outbuild,"1981",NPS
52,58.45324407,-135.8819276,94380,LH - Lodge Maintenance Storage Container GBL66,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94380_2011-11-26_04-46-04_PM_thm.jpg,"$32,701","320 Sq Ft",Storage,"1990",CONCESSION
53,58.45314482,-135.8817359,94379,LH - Lodge Storage / Maintenance Shed GBL65,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94379_2011-11-26_04-53-44_PM_thm.jpg,"$20,438","100 Sq Ft",Serv/Shop/Maint,"1990",CONCESSION
54,58.45511797,-135.8748944,99107,HA - Seasonal Housing Fire Hydrant Shed GBA109,http://akrgis.nps.gov/apps/buildings/photos/thumbs/99107_2011-11-26_05-10-20_PM_thm.jpg,"$5,955","31 Sq Ft",Fire Cache,"1996",NPS
55,58.45259641,-135.8704338,92867,TA - Water Tank Fire Pump Building GBA11,http://akrgis.nps.gov/apps/buildings/photos/thumbs/92867_2011-11-27_09-59-54_AM_thm.jpg,"$48,017","160 Sq Ft",Pump/Well House,"2004",NPS
56,58.45330084,-135.8555208,91285,DA - Depot Hazmat Storage Container GBA110,http://akrgis.nps.gov/apps/buildings/photos/thumbs/91285_2011-11-27_10-15-00_AM_thm.jpg,"$13,187","80 Sq Ft",Chemical,"1990",NPS
57,58.45326305,-135.8555869,91720,DA - Depot Propane Storage Shed GBA39,http://akrgis.nps.gov/apps/buildings/photos/thumbs/91720_2011-11-27_10-22-08_AM_thm.jpg,"$11,525","60 Sq Ft",Chemical,"1996",NPS
58,58.45371649,-135.8552529,94357,DA - Depot Tool Shed GBA40,http://akrgis.nps.gov/apps/buildings/photos/thumbs/94357_2011-11-27_10-41-51_AM_thm.jpg,"$36,789","180 Sq Ft",Shed/Outbuild,"1996",NPS
59,58.45088466,-135.8703363,70940,MA - Maintenance Hazmat Storage Container Building GBA98,http://akrgis.nps.gov/apps/buildings/photos/thumbs/70940_2011-12-01_03-14-05_PM_thm.jpg,"$27,526","138 Sq Ft",Chemical,"1997",NPS
60,58.4503072,-135.87274,86757,MA - Maintenance Covered Parking and Storage Building GBA130,http://akrgis.nps.gov/apps/buildings/photos/thumbs/86757_2011-12-01_04-02-24_PM_thm.jpg,"$1,351,187","6,720 Sq Ft",Serv/Shop/Maint,"2010",NPS
