Number,Latitude,Longitude,Title,Short_Desc,Image_Url,Cost,Size,Status,Category,Date,Occupant,Name,ParkName
195,58.45525086046007,-135.87810656792533,42576,HA - Quarters GBQ04,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42576.jpg,"$314,334","1,168 Sq Ft",OPERATING,Housing-Single Family,1985,NPS,PH - Quarters GBQ04,GBQ 04
196,58.455575385199666,-135.87982562282986,77809,HQ - Beach Trail Lift Station Building GBA14,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/77809.jpg,"$12,979",59 Sq Ft,OPERATING,Pump/Well House,1985,NPS,PD - Beach Trail Lift Station Building GBA14,GBA 14
197,58.453061406250015,-135.88160690212675,84205,LH - Lodge Staff Dormitory Building GBQ56,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/84205.jpg,"$590,766","1,932 Sq Ft",OPERATING,Housing-Multi-Unit,1978,CONCESSION,LH - Lodge Staff Dormitory Building GBQ56,GBL 56
198,58.45287422743053,-135.88201214192708,84218,LH - Lodge Staff Dormitory Building GBQ58,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/84218.jpg,"$648,078","1,920 Sq Ft",OPERATING,Housing-Multi-Unit,1976,CONCESSION,LH - Lodge Staff Dormitory Building GBQ58,GBL 58
199,58.45264230577254,-135.8814708778212,42724,LH - Lodge Admin / Staff Building GBL71,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42724.jpg,"$1,046,477","2,290 Sq Ft",OPERATING,Administrative,1990,CONCESSION,LH- Lodge Admin/Staff Building GBL71,GBL 71
200,58.454412889539924,-135.88490538194446,42562,PD - Canoe Exhibit Shelter GBA64,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42562.jpg,"$168,428",224 Sq Ft,OPERATING,Cultural Center,1987,NPS,PD - Canoe Exhibit Shelter Building GBA64,GBA 64
201,58.45348766601563,-135.87346766710067,73442,WT - Water Plant Building GBA15,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/73442.jpg,"$606,080","1,960 Sq Ft",OPERATING,Water Treatment,1981,NPS,WT - Water Plant Building GBA15,GBA 15
202,58.45431668945315,-135.88513571072048,42547,PD - Visitor Information Station Building GBA07,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42547.jpg,"$350,501",767 Sq Ft,OPERATING,Visitor/Interp,1984,NPS,PD - Visitor Information Station Building GBA07,GBA 07
203,58.45367144422744,-135.87330238389757,94369,WT - Water Treatment Fire Hydrant Shed GBA48,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94369.jpg,"$4,619",31 Sq Ft,OPERATING,Storage,1981,NPS,WT - Water Treatment Fire Hose Shed GBA48,
204,58.45471018012154,-135.87478146050347,42550,HA - Storage Building GBA10,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42550.jpg,"$222,641",720 Sq Ft,OPERATING,Gym/Rec Ctr,1958,NPS,PH - Storage Building GBA10,GBA 10
205,58.45490514431424,-135.87707823567706,42610,HA - Quarters GBQ80,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42610.jpg,"$361,063","1,868 Sq Ft",OPERATING,Housing-Single Family,1998,NPS,PH - Quarters GBQ80,GBQ 80
206,58.45535758572049,-135.87804657769095,94376,HA - Quarters 04 Fire Hydrant Shed GBA54,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94376.jpg,"$29,464",102 Sq Ft,OPERATING,Shed/Outbuild,2000,NPS,PH - Quarters 04 Fire Hose Shed GBA54,
207,58.45307868815104,-135.8821708528646,84216,LH - Lodge Staff Dormitory Building GBQ57,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/84216.jpg,"$584,069","1,728 Sq Ft",OPERATING,Housing-Multi-Unit,1976,CONCESSION,LH - Lodge Staff Dormitory Building GBQ57,GBL 57
208,58.45592416232637,-135.8689677853733,42563,DA - Depot Used Oil Storage Building GBA73,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42563.jpg,"$18,259",83 Sq Ft,OPERATING,Chemical,1996,NPS,DA - Depot Used Oil Storage Building GBA73,GBA 73
209,58.45594102647567,-135.8689023003472,94364,HQ - Inner Dock Fire Hydrant Building GBA46,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94364.jpg,"$4,839",22 Sq Ft,OPERATING,Shed/Outbuild,2000,NPS,HA - Headquarters Inner Dock Fire Hose Building GBA46,
210,58.45607422526041,-135.8680488845486,42566,HQ - Headquarters Mail Shed Building GBA90,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42566.jpg,"$31,831",100 Sq Ft,OPERATING,Administrative,1990,NPS,HA - Headquarters Mail Shed Building GBA90,GBA 90
211,58.456075380859374,-135.8679109244792,42565,HQ - Headquarters Emergency Cache Building GBA89,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42565.jpg,"$220,313",661 Sq Ft,OPERATING,Fire Cache,2000,NPS,HA - Headquarters Emergency Cache Building GBA89,GBA 89
212,58.45385850585939,-135.87360648871527,77811,WT - Well House Building GBA13,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/77811.jpg,"$49,785",161 Sq Ft,OPERATING,Water Treatment,1974,NPS,WT- Well House Building GBA13,GBA 13
213,58.45680019097222,-135.8666234027778,70958,HQ - Sauna Building GBA63,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/70958.jpg,"$15,399",70 Sq Ft,OPERATING,General Bldg,1975,NPS,HA - Headquarters Sauna Building GBA63,GBA 63
214,58.45290041124133,-135.88693633680555,73460,UC - Oil Storage Building GBA92,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/73460.jpg,"$136,613",621 Sq Ft,OPERATING,Chemical,2000,SHARED,UC - Utility Complex Oil Storage Building GBA92,GBA 92
215,58.45245392252605,-135.88743055664065,77814,UC - Santec Blower Building GBA88,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/77814.jpg,"$62,154",201 Sq Ft,OPERATING,Sewage Treatment,1998,NPS,UC - Utility Complex Santec Blower Building GBA88,GBA 88
216,58.452473296440985,-135.88780601345485,94390,UC - Polishing Filter Shed GBA117,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94390.jpg,"$9,679",44 Sq Ft,OPERATING,Shed/Outbuild,2003,NPS,UC - Utility Complex WWS Polishing Filter Shed GBA117,
217,58.4526581998698,-135.88732500325523,42548,UC - Power Plant Building GBA08,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42548.jpg,"$3,562,269","11,520 Sq Ft",OPERATING,Power Generating,1976,NPS,UC - Power Plant Building GBA08,GBA 08
218,58.45303931532118,-135.8869633517795,73458,UC - Fuel / Gasoline Pump Building GBA87,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/73458.jpg,"$64,627",209 Sq Ft,OPERATING,Transport Bldg,1996,NPS,UC - Utility Complex Fuel/Gasoline Pump Building GBA87,GBA 87
219,58.452812707248256,-135.88704775499133,73462,UC - Fuel Truck Building GBA93,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/73462.jpg,"$92,175",419 Sq Ft,OPERATING,Equip/Vehicle,2001,NPS,UC - Utility Complex Fuel Truck Building GBA93,GBA 93
220,58.45492465820314,-135.87550549153644,94370,HA - Seasonal Housing Fire Hydrant Shed GBA49,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94370.jpg,"$6,819",31 Sq Ft,OPERATING,Shed/Outbuild,1999,NPS,PH - Seasonal Housing Fire Hose Shed GBA49,
221,58.455000568576395,-135.87563375325522,94371,HA - Seasonal Housing Recycling Shed GBA50,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94371.jpg,"$31,540",102 Sq Ft,OPERATING,Shed/Outbuild,1994,NPS,PH - Seasonal Housing Recycling Shed GBA50,
222,58.45562976128474,-135.86846428168406,42551,HQ - Headquarters Building GBA12,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42551.jpg,"$2,091,510","5,027 Sq Ft",OPERATING,Administrative,1958,NPS,HA - Headquarters Building GBA12,GBA 12
223,58.450565324435786,-135.8718124435764,70959,MA - Maintenance Support Building GBA99,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/70959.jpg,"$5,937,116","19,200 Sq Ft",OPERATING,Serv/Shop/Maint,2004,NPS,MA - Maintenenance Support Building GBA99,GBA 99
224,58.45351493055557,-135.8557040277778,70936,DA - Depot Boat Storage Shelter Building GBA79,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/70936.jpg,"$570,212","2,592 Sq Ft",OPERATING,Storage,1995,NPS,DA - Depot Boat Storage Shelter Building GBA79,GBA 79
225,58.45477093967014,-135.88844872178822,78851,UC - Fuel Dock Fuel Hose Building GBA84,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/78851.jpg,"$7,039",31 Sq Ft,OPERATING,Shed/Outbuild,1999,NPS,UC - Fuel Dock Fuel Hose Building GBA84,
226,58.454650212673585,-135.88832133680557,78852,UC - Fuel Dock Boom Building GBA86,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/78852.jpg,"$31,678",144 Sq Ft,OPERATING,Shed/Outbuild,1993,NPS,UC - Fuel Dock Boom Building GBA86,
227,58.45511638346352,-135.88860803710935,78848,UC - Fuel Dock Operator Booth GBA34,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/78848.jpg,"$20,372",64 Sq Ft,OPERATING,Transport Bldg,1981,NPS,UC - Fuel Dock Operator Booth GBA34,GBA 34
228,58.4550871169705,-135.88868683159723,78278,UC - Fuel Dock Dispenser Shelter GBA91,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/78278.jpg,"$7,219",40 Sq Ft,OPERATING,Chemical,1999,NPS,UC - Fuel Dock Dispenser Shelter GBA91,GBA 91
229,58.454946620008684,-135.8767637293837,94373,HA - Seasonal Housing Fire Hydrant Shed GBA51,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94373.jpg,"$6,819",31 Sq Ft,OPERATING,Shed/Outbuild,1999,NPS,PH - Seasonal Housing Fire Hose Shed GBA51,
230,58.45152592122395,-135.89310934136284,70952,CA - Campground Outhouse GBA37,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/70952.jpg,"$10,651",16 Sq Ft,OPERATING,Comfort Station,1984,NPS,CA - Campground Outhouse GBA37,GBA 37
231,58.44999766927083,-135.89498986653643,70953,CA - Campground Outhouse GBA38,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/70953.jpg,"$10,651",16 Sq Ft,OPERATING,Comfort Station,1984,NPS,CA - Campground Outhouse GBA38,GBA 38
232,58.45168803602428,-135.89285923502604,70951,CA - Campground Outhouse GBA36,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/70951.jpg,"$11,095",16 Sq Ft,OPERATING,Comfort Station,1984,NPS,CA - Campground Outhouse GBA36,GBA 36
233,58.451607778862865,-135.8933697547743,70950,CA - Campground Wood Shed GBA32,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/70950.jpg,"$13,199",60 Sq Ft,OPERATING,Shed/Outbuild,1975,NPS,CA - Campground Wood Shed GBA32,GBA 32
234,58.45069325412328,-135.89347366536458,70948,CA - Campground Food Cache GBA25,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/70948.jpg,"$11,439",51 Sq Ft,OPERATING,Shed/Outbuild,1984,NPS,CA - Campground Food Cache GBA25,GBA 25
235,58.45193716905379,-135.8918094129774,70947,CA - Campground Food Cache GBA24,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/70947.jpg,"$11,439",51 Sq Ft,OPERATING,Shed/Outbuild,1971,NPS,CA - Campground Food Cache GBA24,GBA 24
236,58.4513918760851,-135.89357110677082,70946,CA - Campground Warming Hut GBA23,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/70946.jpg,"$30,778",168 Sq Ft,OPERATING,Shed/Outbuild,1971,NPS,CA - Campground Warming Hut GBA23,GBA 23
237,58.4494669596354,-135.895471437717,70949,CA - Campground Food Cache GBA26,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/70949.jpg,"$11,439",51 Sq Ft,OPERATING,Shed/Outbuild,1983,NPS,CA - Campground Food Cache GBA26,GBA 26
238,58.45457285373266,-135.8847665115017,78955,PD - Visitor Storage Building GBA33,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/78955.jpg,"$17,819",81 Sq Ft,OPERATING,Storage,1984,NPS,PD - Visitor Storage Building GBA33,
239,58.4555197048611,-135.8774031011285,94374,HA - Permanent Housing Fire Hydrant Shed GBA52,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94374.jpg,"$4,619",31 Sq Ft,OPERATING,Shed/Outbuild,1981,NPS,PH - Permanent Housing Fire Hose Shed GBA52,
240,58.455967834201374,-135.8678543250868,94368,HQ - Fire Hydrant Building GBA47,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94368.jpg,"$4,839",22 Sq Ft,OPERATING,Storage,2000,NPS,HA - Headquarters Emergency Cache Fire Hose Building GBA47,
241,58.45489156901044,-135.87580569661458,42618,HA - Quarters Duplex GBQ82,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42618.jpg,"$441,127","1,320 Sq Ft",OPERATING,Housing-Multi-Unit,1998,NPS,PH - Quarters Duplex GBQ82,GBQ 82
242,58.45467377821183,-135.87568984483505,42620,HA - Quarters Duplex GBQ83,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42620.jpg,"$441,127","1,320 Sq Ft",OPERATING,Housing-Multi-Unit,1998,NPS,PH - Quarters Duplex GBQ83,GBQ 83
243,58.45502118055555,-135.8761609440104,42615,HA - Quarters Duplex GBQ81,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42615.jpg,"$441,127","1,320 Sq Ft",OPERATING,Housing-Multi-Unit,1998,NPS,PH - Quarters Duplex GBQ81,GBQ 81
244,58.456024560546894,-135.87555442599825,42578,HA - Quarters GBQ05,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42578.jpg,"$449,528","1,887 Sq Ft",OPERATING,Housing-Single Family,1957,NPS,PH - Quarters GBQ05,GBQ 05
245,58.455120472005206,-135.87465221137154,42606,HA - Quarters GBQ77 Apartment Building,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42606.jpg,"$957,682","2,812 Sq Ft",OPERATING,Housing-Multi-Unit,1994,NPS,PH - Quarters GBQ77 Apartment Building,GBQ 77
246,58.455351399739584,-135.8749169455295,42601,HA - Quarters GBQ76 Apartment Building,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42601.jpg,"$1,270,440","3,736 Sq Ft",OPERATING,Housing-Multi-Unit,1994,NPS,PH - Quarters GBQ76 Apartment Building,GBQ 76
247,58.45556153320314,-135.87530937825522,42590,HA - Quarters GBQ75 Apartment Building,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42590.jpg,"$986,340","2,914 Sq Ft",OPERATING,Housing-Multi-Unit,1994,NPS,PH - Quarters GBQ75 Apartment Building,GBQ 75
248,58.45601152669269,-135.86837706488717,42545,HQ - Resource Management / Ranger Office Building GBA06,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42545.jpg,"$1,476,580","3,549 Sq Ft",OPERATING,Administrative,1958,NPS,HA - Resource Management/Ranger Office Building GBA06,GBA 06
249,58.454479001736104,-135.8859395562066,94398,PD - Fire Hydrant Shed GBA120,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94398.jpg,"$6,819",31 Sq Ft,OPERATING,Shed/Outbuild,1981,NPS,PD - Public Dock Fire Hose Shed GBA120,
250,58.45799509874132,-135.87357944118924,42622,HQ - Headquarters Island Cabin GBQ01,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42622.jpg,"$41,206",396 Sq Ft,OPERATING,Shed/Outbuild,1947,NPS,HA - Headquarters Island Cabin GBQ01- INACTIVE,GBA 01
251,58.41840612738713,-135.7082685058594,42587,GA - Gustavus FAA Cottage GBQ22,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42587.jpg,"$604,875","1,056 Sq Ft",OPERATING,Housing-Single Family,1947,NPS,GA - Gustavus Quarters GBQ22,
252,58.41790722656248,-135.70913899631074,42586,GA - Gustavus FAA Cottage GBQ21,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42586.jpg,"$604,875","1,056 Sq Ft",OPERATING,Housing-Single Family,1947,NPS,GA - Gustavus Quarters GBQ21,
253,58.41770629340277,-135.709500219184,42583,GA - Gustavus FAA Cottage GBQ20,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42583.jpg,"$246,069","1,056 Sq Ft",OPERATING,Housing-Single Family,1947,NPS,GA - Gustavus Quarters GBQ20,
254,58.41801253038193,-135.70860942165797,61189,GA - Gustavus Water Plant Building GBA61,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/61189.jpg,"$124,926",404 Sq Ft,OPERATING,Water Treatment,1986,NPS,GA - Gustavus Water Plant Building GBA61,
255,58.41815634223093,-135.70873574110243,42560,GA - FAA Boiler Building GBA62,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42560.jpg,"$818,549","1,533 Sq Ft",OPERATING,Storage,1947,NPS,GA - Gustavus White Storage Building GBA62,
256,58.45359943359375,-135.8545623372396,94362,REMOVED - DA - Depot Bobcat Storage Shed GBA44,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94362.jpg,"$10,219",200 Sq Ft,REMOVED,Shed/Outbuild,unknown,NPS,DA - Depot Bobcat Storage Shed GBA44,
257,58.45353234483508,-135.85471237847224,94360,DA - Depot Soil Remediation Shed GBA43,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94360.jpg,"$36,818",204 Sq Ft,OPERATING,Shed/Outbuild,2003,NPS,DA - Depot Equipment Storage Shed GBA43,
258,58.45366988064234,-135.88596527126737,94400,PD - AIS / VES Building GBA122,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94400.jpg,"$40,478",184 Sq Ft,OPERATING,General Bldg,1999,NPS,PD - Public Dock Area AIS/VES Building GBA122,
259,58.45239564344615,-135.8875776605903,97084,UC - Santec Shelter GBA123,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/97084.jpg,"$791,961","3,600 Sq Ft",OPERATING,Sewage Treatment,2007,NPS,UC - Utility Complex Santec Shelter GBA123,
260,58.45260431098092,-135.88782085720487,94388,UC - Interpretation Storage Container GBA115,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94388.jpg,"$70,396",320 Sq Ft,OPERATING,Storage,1999,NPS,UC - Utility Complex Interp Storage Container GBA115,
261,58.452719257812475,-135.8877123328993,42556,UC - Hazard Response Building GBA60,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/42556.jpg,"$44,037",288 Sq Ft,OPERATING,Chemical,1986,NPS,UC - Utility Complex Hazard Response Building GBA60,
262,58.45266083767359,-135.88772638997398,94386,UC - Spill Response Container GBA113,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94386.jpg,"$35,198",160 Sq Ft,OPERATING,Storage,1990,NPS,UC - Utility Complex Spill Response Container GBA113,
263,58.45598949761285,-135.86780546549477,87178,HQ - Headquarters Trash Collection Shed GBA125,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/87178.jpg,"$10,559",48 Sq Ft,OPERATING,Shed/Outbuild,1980,NPS,HA - Headquarters Trash Collection Shed GBA125,
264,58.45322979383678,-135.88718476019966,94382,UC - Fuel Dock Fire Hydrant Shed GBA74,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94382.jpg,"$6,819",31 Sq Ft,OPERATING,Shed/Outbuild,1999,NPS,UC - Fuel Dock Fire Hose Shed GBA74,
265,58.45281826822918,-135.887671906467,94383,UC - Fire Hydrant Shed GBA70,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94383.jpg,"$6,819",31 Sq Ft,OPERATING,Shed/Outbuild,1999,NPS,UC - Fire Hose Shed GBA70,
266,58.45286823025174,-135.88782161132815,94384,UC - Heavy Equipment Shed GBA111,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94384.jpg,"$17,326",96 Sq Ft,OPERATING,Equip/Vehicle,1996,NPS,UC - Heavy Equipment Shed GBA111,
267,58.452772851562486,-135.88767391276042,94385,UC - USCG Spill Container GBA112,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94385.jpg,"$35,198",160 Sq Ft,OPERATING,Storage,1990,SHARED,UC - USCG Spill Container GBA112,
268,58.45258022026911,-135.8878559266493,94389,UC - Resource Management Storage Container GBA116,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94389.jpg,"$57,754",320 Sq Ft,OPERATING,Storage,1990,NPS,UC - Resource Management Storage Container GBA116,
269,58.45329868055558,-135.8821382888455,94381,LH - Lodge Housing Fire Hydrant Shed GBL69,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94381.jpg,"$6,049",27 Sq Ft,OPERATING,Shed/Outbuild,1981,NPS,LH - Lodge Housing Fire Hose Shed GBL69,
270,58.453263465711814,-135.88188881184897,94380,LH - Lodge Maintenance Storage Container GBL66,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94380.jpg,"$35,198",320 Sq Ft,OPERATING,Storage,1990,CONCESSION,LH - Lodge Maintenance Storage Container GBL66,
271,58.453157686631926,-135.88174256401908,94379,LH - Lodge Storage / Maintenance Shed GBL65,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94379.jpg,"$21,998",100 Sq Ft,OPERATING,Serv/Shop/Maint,1990,CONCESSION,LH - Lodge Storage / Maintenance Shed GBL65,
272,58.45511638671877,-135.87494732204863,99107,HA - Seasonal Housing Fire Hydrant Shed GBA109,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/99107.jpg,"$6,819",31 Sq Ft,OPERATING,Fire Cache,1996,NPS,PH - Seasonal Housing Fire Hose Shed GBA109,
273,58.45263262478301,-135.87040873372393,92867,TA - Water Tank Fire Pump Building GBA11,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/92867.jpg,"$49,475",160 Sq Ft,OPERATING,Pump/Well House,2004,NPS,MR - Water Tank Fire Pump Building GBA11,
274,58.453282364366316,-135.85550376736109,91285,DA - Depot Hazmat Storage Container GBA110,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/91285.jpg,"$14,438",80 Sq Ft,OPERATING,Chemical,1990,NPS,DA - Depot Hazmat Storage Container GBA110,
275,58.45324698350697,-135.8555573969184,91720,DA - Depot Propane Storage Shed GBA39,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/91720.jpg,"$13,199",60 Sq Ft,OPERATING,Chemical,1996,NPS,DA - Depot Propane Storage Shed GBA39,
276,58.45371009657117,-135.85529305013023,94357,DA - Depot Tool Shed GBA40,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94357.jpg,"$39,598",180 Sq Ft,OPERATING,Shed/Outbuild,1996,NPS,DA - Depot Tool Shed GBA40,
277,58.45088600151911,-135.87030360894096,70940,MA - Maintenance Hazmat Storage Container Building GBA98,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/70940.jpg,"$30,358",138 Sq Ft,OPERATING,Chemical,1997,NPS,MA - Maintenance Hazmat Storage Container Building GBA98,
278,58.4502507638889,-135.8728024490017,86757,MA - Maintenance Covered Parking and Storage Building GBA130,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/86757.jpg,"$1,478,328","6,720 Sq Ft",OPERATING,Serv/Shop/Maint,2010,NPS,MA - Maintenance Covered Parking and Storage Building GBA130,
279,58.45629768120659,-135.86936181315104,73687,WA - Float Cabin GBQ67 - Blue Mouse Cove,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/73687.jpg,"$98,891",120 Sq Ft,OPERATING,Housing-Support Bldg,2002,NPS,WA - Float Cabin GBQ67 - Blue Mouse Cove,
280,58.456230094401064,-135.8692790549045,73689,WA - Float Cabin GBQ68 - Russell Island,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/73689.jpg,"$98,891",120 Sq Ft,OPERATING,Housing-Support Bldg,2002,NPS,WA - Float Cabin GBQ68 - Russell Island,
281,58.45273367730033,-135.88706539279514,94399,UC - AIS / VES Building GBA121,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94399.jpg,"$35,198",160 Sq Ft,OPERATING,General Bldg,1999,NPS,UC - AIS / VES Building GBA121,
282,58.45369690755206,-135.85541434244794,94358,DA - Depot Scrap Metal Shed GBA41,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/94358.jpg,"$27,058",123 Sq Ft,OPERATING,Storage,1996,NPS,DA - Depot Scrap Metal Shed GBA41,
283,58.45359628038193,-135.85544257161456,235761,DA - Solid Waste Holding Shed GBA135,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/235761.jpg,"$17,326",96 Sq Ft,OPERATING,Shed/Outbuild,2011,NPS,DA - Solid Waste Holding Shed,
284,58.453407275390646,-135.8547926671007,235759,DA - Shooting Range Shelter GBA133,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GLBA/235759.jpg,"$20,033",111 Sq Ft,OPERATING,Barn/Stable,2011,NPS,DA Shooting Range Shelter,
285,66.91656298719619,-151.5155482638889,43103,BTTB Misc Storage/Warehouse,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GAAR/43103.jpg,"$147,022",904 Sq Ft,OPERATING,Housing-Support Bldg,1980,NPS,BTTB Misc Storage/Warehouse,
286,66.88526221245661,-151.49867403320312,83890,BTTB - 112  Aviation storage,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GAAR/83890.jpg,"$16,622",64 Sq Ft,OPERATING,Storage,1980,NPS,BTTB - 112  Aviation storage,
287,66.91689112847223,-151.51336944878472,111279,BTTB Woodshed,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GAAR/111279.jpg,"$99,045",609 Sq Ft,OPERATING,Storage,2000,NPS,BTTB Woodshed,
288,66.91679412109374,-151.51609709635417,89072,BTTB - Employee Recreation Hall,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GAAR/89072.jpg,"$285,622",760 Sq Ft,OPERATING,Housing-Support Bldg,2004,NPS,BTTB - Employee Recreation Hall,
289,66.91662284505207,-151.51608506618925,83888,BTTB -Winter Rescue Cache,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GAAR/83888.jpg,"$24,934",96 Sq Ft,OPERATING,Storage,1980,NPS,BTTB -Winter Rescue Cache,
290,66.9171032063802,-151.512763874783,43100,BTTB Red storage shed,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GAAR/43100.jpg,"$85,710",330 Sq Ft,OPERATING,Shed/Outbuild,1980,NPS,BTTB Red storage shed,
291,66.91550931423609,-151.51528278320313,43086,00000110 BTTH House 110,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/GAAR/43086.jpg,"$539,932","1,608 Sq Ft",OPERATING,Housing-Single Family,1974,NPS,00000110 BTTH House 110,
