Number,Latitude,Longitude,Title,Short_Desc,Image_Url,Cost,Size,Status,Category,Date,Occupant,Name,ParkName
20,58.55743752712675,-155.77998172092015,88539,KATMAILAND BC Tuckerville Employee Shower Restroom,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88539.jpg,"$202,747",367 Sq Ft,OPERATING,Comfort Station,1988,CONCESSION,KATMAILAND BC Tuckerville Employee Shower Restroom,
21,58.55757414171006,-155.78009359809028,88555,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #11,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88555.jpg,"$47,161",120 Sq Ft,OPERATING,Housing-Single Family,1985,CONCESSION,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #11,
22,58.55753067491321,-155.7801849500868,88554,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #10,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88554.jpg,"$47,161",139 Sq Ft,OPERATING,Housing-Single Family,1985,CONCESSION,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #10,
23,58.55745977864581,-155.78022332248264,88553,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #9,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88553.jpg,"$47,161",139 Sq Ft,OPERATING,Housing-Single Family,1985,CONCESSION,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #9,
24,58.55736749565972,-155.78024496310763,88544,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #8,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88544.jpg,"$47,161",120 Sq Ft,OPERATING,Housing-Single Family,1985,CONCESSION,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #8,
25,58.557281968315976,-155.78009002929687,88542,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #6,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88542.jpg,"$47,161",139 Sq Ft,OPERATING,Housing-Single Family,1985,CONCESSION,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #6,
26,58.5574150824653,-155.78047650824652,88557,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #13,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88557.jpg,"$47,161",120 Sq Ft,OPERATING,Housing-Single Family,1985,CONCESSION,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #13,
27,58.557487097439264,-155.78044582682293,88558,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #14,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88558.jpg,"$47,161",120 Sq Ft,OPERATING,Housing-Single Family,1985,CONCESSION,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #14,
28,58.55756214518232,-155.78048775065105,88559,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #15,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88559.jpg,"$39,761",120 Sq Ft,OPERATING,Housing-Single Family,1985,CONCESSION,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #15,
29,58.557659370659735,-155.78040857096354,88560,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #16,http://akrgis.nps.gov/apps/bldgs/photos/thumbs/KATM/88560.jpg,"$47,161",120 Sq Ft,OPERATING,Housing-Single Family,1985,CONCESSION,KATMAILAND Brooks Lodge Tuckerville Employee Cabin #16,
